,max_df,max_features,min_df,random_state,train_score,test_score
125,0.75,8000,2,1337,0.753781512605042,0.6322418136020151
126,0.83,500,1,1,0.7075630252100841,0.6675062972292192
127,0.83,500,1,42,0.7033613445378152,0.663727959697733
128,0.83,500,1,1337,0.6928571428571428,0.6574307304785895
129,0.83,500,2,1,0.7075630252100841,0.6675062972292192
130,0.83,500,2,42,0.7033613445378152,0.663727959697733
131,0.83,500,2,1337,0.6899159663865546,0.6612090680100756
132,0.83,1000,1,1,0.7554621848739496,0.6863979848866498
133,0.83,1000,1,42,0.7478991596638656,0.6675062972292192
134,0.83,1000,1,1337,0.7508403361344538,0.6889168765743073
135,0.83,1000,2,1,0.7554621848739496,0.6863979848866498
136,0.83,1000,2,42,0.7483193277310924,0.6662468513853904
137,0.83,1000,2,1337,0.7504201680672269,0.6889168765743073
138,0.83,2000,1,1,0.8096638655462185,0.7002518891687658
139,0.83,2000,1,42,0.7945378151260504,0.707808564231738
140,0.83,2000,1,1337,0.7899159663865546,0.707808564231738
141,0.83,2000,2,1,0.8084033613445378,0.7002518891687658
142,0.83,2000,2,42,0.7928571428571428,0.7090680100755667
143,0.83,2000,2,1337,0.7924369747899159,0.7090680100755667
144,0.83,3000,1,1,0.819327731092437,0.6939546599496221
145,0.83,3000,1,42,0.8063025210084034,0.6876574307304786
146,0.83,3000,1,1337,0.8029411764705883,0.707808564231738
147,0.83,3000,2,1,0.8205882352941176,0.6939546599496221
148,0.83,3000,2,42,0.8067226890756303,0.6889168765743073
149,0.83,3000,2,1337,0.8046218487394958,0.7040302267002518
150,0.83,4000,1,1,0.8138655462184874,0.6826196473551638
151,0.83,4000,1,42,0.8050420168067227,0.6926952141057935
152,0.83,4000,1,1337,0.8016806722689076,0.6876574307304786
153,0.83,4000,2,1,0.8105042016806723,0.6826196473551638
154,0.83,4000,2,42,0.8054621848739496,0.6977329974811083
155,0.83,4000,2,1337,0.8025210084033614,0.6889168765743073
156,0.83,5000,1,1,0.8079831932773109,0.6801007556675063
157,0.83,5000,1,42,0.7936974789915966,0.6838790931989924
158,0.83,5000,1,1337,0.7945378151260504,0.6675062972292192
159,0.83,5000,2,1,0.807563025210084,0.6801007556675063
160,0.83,5000,2,42,0.7911764705882353,0.681360201511335
161,0.83,5000,2,1337,0.7936974789915966,0.6675062972292192
162,0.83,8000,1,1,0.7647058823529411,0.6335012594458438
163,0.83,8000,1,42,0.7567226890756302,0.654911838790932
164,0.83,8000,1,1337,0.7449579831932773,0.6246851385390428
165,0.83,8000,2,1,0.7663865546218488,0.6360201511335013
166,0.83,8000,2,42,0.7605042016806722,0.654911838790932
167,0.83,8000,2,1337,0.7470588235294118,0.628463476070529
168,0.9,500,1,1,0.7050420168067227,0.6675062972292192
169,0.9,500,1,42,0.7046218487394958,0.6649874055415617
170,0.9,500,1,1337,0.6907563025210084,0.6612090680100756
171,0.9,500,2,1,0.7050420168067227,0.6675062972292192
172,0.9,500,2,42,0.7046218487394958,0.6649874055415617
173,0.9,500,2,1337,0.6907563025210084,0.6612090680100756
174,0.9,1000,1,1,0.7554621848739496,0.6863979848866498
175,0.9,1000,1,42,0.7495798319327731,0.6662468513853904
176,0.9,1000,1,1337,0.7483193277310924,0.6851385390428212
177,0.9,1000,2,1,0.7546218487394958,0.6826196473551638
178,0.9,1000,2,42,0.7508403361344538,0.6662468513853904
179,0.9,1000,2,1337,0.7491596638655462,0.6889168765743073
180,0.9,2000,1,1,0.8071428571428572,0.7015113350125944
181,0.9,2000,1,42,0.7903361344537815,0.7052896725440806
182,0.9,2000,1,1337,0.7928571428571428,0.7052896725440806
183,0.9,2000,2,1,0.8071428571428572,0.7027707808564232
184,0.9,2000,2,42,0.792016806722689,0.7065491183879093
185,0.9,2000,2,1337,0.7915966386554621,0.7052896725440806
186,0.9,3000,1,1,0.8184873949579832,0.6939546599496221
187,0.9,3000,1,42,0.8067226890756303,0.6889168765743073
188,0.9,3000,1,1337,0.8046218487394958,0.7040302267002518
189,0.9,3000,2,1,0.8201680672268907,0.6952141057934509
190,0.9,3000,2,42,0.8058823529411765,0.6914357682619647
191,0.9,3000,2,1337,0.8046218487394958,0.7040302267002518
192,0.9,4000,1,1,0.8126050420168067,0.6851385390428212
193,0.9,4000,1,42,0.8042016806722689,0.6939546599496221
194,0.9,4000,1,1337,0.8016806722689076,0.6889168765743073
195,0.9,4000,2,1,0.8134453781512605,0.6826196473551638
196,0.9,4000,2,42,0.8046218487394958,0.6926952141057935
197,0.9,4000,2,1337,0.8008403361344538,0.6889168765743073
198,0.9,5000,1,1,0.8084033613445378,0.6801007556675063
199,0.9,5000,1,42,0.7903361344537815,0.681360201511335
200,0.9,5000,1,1337,0.7911764705882353,0.6662468513853904
201,0.9,5000,2,1,0.8071428571428572,0.6788413098236776
202,0.9,5000,2,42,0.7903361344537815,0.6801007556675063
203,0.9,5000,2,1337,0.7924369747899159,0.6662468513853904
204,0.9,8000,1,1,0.7605042016806722,0.6335012594458438
205,0.9,8000,1,42,0.7542016806722689,0.654911838790932
206,0.9,8000,1,1337,0.742436974789916,0.6234256926952141
207,0.9,8000,2,1,0.7634453781512605,0.6385390428211587
208,0.9,8000,2,42,0.7571428571428571,0.6561712846347607
209,0.9,8000,2,1337,0.7436974789915967,0.6234256926952141
210,1.0,500,1,1,0.688655462184874,0.6511335012594458
211,1.0,500,1,42,0.6995798319327731,0.6523929471032746
212,1.0,500,1,1337,0.6752100840336135,0.6410579345088161
213,1.0,500,2,1,0.688655462184874,0.6511335012594458
214,1.0,500,2,42,0.6995798319327731,0.6523929471032746
215,1.0,500,2,1337,0.6764705882352942,0.6435768261964736
216,1.0,1000,1,1,0.746218487394958,0.6801007556675063
217,1.0,1000,1,42,0.7390756302521009,0.6624685138539043
218,1.0,1000,1,1337,0.7365546218487395,0.681360201511335
